"Dataset:","LGBTI","","","","","",""
"Czechia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","24",""
"Czechia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Germany","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","16",""
"Germany","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","29",""
"Germany","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","36",""
"Germany","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","19",""
"Germany","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Denmark","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","16",""
"Denmark","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","28",""
"Denmark","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","34",""
"Denmark","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","22",""
"Denmark","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","1",""
"Estonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","37",""
"Estonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","27",""
"Estonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","23",""
"Estonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","13",""
"Estonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Greece","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","37",""
"Greece","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","36",""
"Greece","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","17",""
"Greece","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","9",""
"Greece","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Spain","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","16",""
"Spain","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","32",""
"Spain","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","33",""
"Spain","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","19",""
"Spain","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Finland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","13",""
"Finland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","26",""
"Finland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","37",""
"Finland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","24",""
"Finland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"France","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","38",""
"France","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","34",""
"France","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","19",""
"France","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","9",""
"France","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Croatia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","57",""
"Croatia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","27",""
"Croatia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","10",""
"Croatia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","7",""
"Croatia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Hungary","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","46",""
"Hungary","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","26",""
"Hungary","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","17",""
"Hungary","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","10",""
"Hungary","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Ireland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","24",""
"Ireland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","35",""
"Ireland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","27",""
"Ireland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","13",""
"Ireland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Italy","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","27",""
"Italy","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","35",""
"Italy","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","24",""
"Italy","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","14",""
"Italy","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Lithuania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","44",""
"Lithuania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","29",""
"Lithuania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","16",""
"Lithuania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","11",""
"Lithuania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Luxembourg","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","12",""
"Luxembourg","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","27",""
"Luxembourg","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","35",""
"Luxembourg","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","26",""
"Luxembourg","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Latvia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","50",""
"Latvia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","25",""
"Latvia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","17",""
"Latvia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","7",""
"Latvia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","1",""
"Malta","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","21",""
"Malta","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","26",""
"Malta","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","28",""
"Malta","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","25",""
"Malta","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Netherlands","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","21",""
"Netherlands","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","36",""
"Netherlands","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","29",""
"Netherlands","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","13",""
"Netherlands","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Poland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","58",""
"Poland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","25",""
"Poland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","11",""
"Poland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","6",""
"Poland","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Portugal","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","27",""
"Portugal","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","30",""
"Portugal","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","24",""
"Portugal","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","18",""
"Portugal","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Romania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","57",""
"Romania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","25",""
"Romania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","11",""
"Romania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","7",""
"Romania","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Sweden","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","15",""
"Sweden","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","28",""
"Sweden","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","38",""
"Sweden","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","20",""
"Sweden","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Slovenia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","31",""
"Slovenia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","33",""
"Slovenia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","24",""
"Slovenia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","12",""
"Slovenia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Slovakia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","50",""
"Slovakia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","27",""
"Slovakia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","14",""
"Slovakia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","9",""
"Slovakia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"United Kingdom","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","27",""
"United Kingdom","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","35",""
"United Kingdom","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","26",""
"United Kingdom","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","12",""
"United Kingdom","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"EU-28","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","30",""
"EU-28","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","31",""
"EU-28","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","25",""
"EU-28","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","14",""
"EU-28","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"North Macedonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","67",""
"North Macedonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","19",""
"North Macedonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","8",""
"North Macedonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","5",""
"North Macedonia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Serbia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Always","71",""
"Serbia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Often","16",""
"Serbia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Rarely","7",""
"Serbia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Never","6",""
"Serbia","All","All","DEXavoid_hands","Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened or harassed?","Dont know","0",""
"Austria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","6",""
"Austria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","13",""
"Austria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","36",""
"Austria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","45",""
"Austria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Belgium","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","11",""
"Belgium","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","26",""
"Belgium","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","36",""
"Belgium","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","27",""
"Belgium","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Bulgaria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","22",""
"Bulgaria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","23",""
"Bulgaria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","26",""
"Bulgaria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","28",""
"Bulgaria","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Cyprus","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","17",""
"Cyprus","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","16",""
"Cyprus","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","26",""
"Cyprus","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","41",""
"Cyprus","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Czechia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","8",""
"Czechia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","13",""
"Czechia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","36",""
"Czechia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","43",""
"Czechia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Germany","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","7",""
"Germany","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","17",""
"Germany","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","39",""
"Germany","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","37",""
"Germany","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Denmark","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","7",""
"Denmark","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","12",""
"Denmark","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","37",""
"Denmark","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","43",""
"Denmark","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","1",""
"Estonia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","9",""
"Estonia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","21",""
"Estonia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","36",""
"Estonia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","34",""
"Estonia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Greece","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","14",""
"Greece","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","25",""
"Greece","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","31",""
"Greece","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","30",""
"Greece","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Spain","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","9",""
"Spain","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","23",""
"Spain","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","39",""
"Spain","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","30",""
"Spain","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Finland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","3",""
"Finland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","12",""
"Finland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","40",""
"Finland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","45",""
"Finland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"France","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","13",""
"France","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","27",""
"France","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","35",""
"France","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","25",""
"France","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Croatia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","19",""
"Croatia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","24",""
"Croatia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","31",""
"Croatia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","26",""
"Croatia","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Hungary","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","18",""
"Hungary","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","23",""
"Hungary","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","31",""
"Hungary","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","28",""
"Hungary","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Ireland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","10",""
"Ireland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","21",""
"Ireland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","36",""
"Ireland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Never","33",""
"Ireland","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Dont know","0",""
"Italy","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Always","8",""
"Italy","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Often","22",""
"Italy","All","All","DEXavoid_places","Do you avoid certain places or locations for fear of being assaulted, threatened or harassed due to being LGBTI?","Rarely","35",""
